day,slot,targets,a_name(a_type),a_inst,room
Monday,9:00-10:30,[B20-CE-**],AGLA(Lec),Vladimir Ivanov,108
Tuesday,9:00-10:30,[B20-CS-**],AGLA(Lec),Leonid Merkin,108
Monday,10:40-12:10,[B20-CE-**],AGLA(Tut),Mohammad Bahrami,108
Tuesday,10:40-12:10,[B20-CS-**],AGLA(Tut),Ivan Konyukhov,108
Monday,12:40-14:10,[B20-CE-01],AGLA(Lab),Anastasiya Puzankova,101
Monday,14:20-15:50,[B20-CE-02],AGLA(Lab),Anastasiya Puzankova,101
Monday,12:40-14:10,[B20-CE-03],AGLA(Lab),Oleg Bulichev,102
Monday,14:20-15:50,[B20-CE-04],AGLA(Lab),Oleg Bulichev,102
Tuesday,12:40-14:10,[B20-CS-01],AGLA(Lab),Nikolay Kudasov,101
Tuesday,14:20-15:50,[B20-CS-02],AGLA(Lab),Nikolay Kudasov,101
Wednesday,9:00-10:30,[B20-CE-**],C1(Lec),Ivan Konyukhov,108
Wednesday,10:40-12:10,[B20-CE-**],C1(Tut),Ivan Konyukhov,108
Wednesday,12:40-14:10,[B20-CE-01],C1(Lab),Ivan Konyukhov,101
Wednesday,14:20-15:50,[B20-CE-02],C1(Lab),Ivan Konyukhov,101
Wednesday,12:40-14:10,[B20-CE-03],C1(Lab),Ramil Dautov,102
Wednesday,14:20-15:50,[B20-CE-04],C1(Lab),Ramil Dautov,102
Thursday,9:00-10:30,[B20-**-**],CA(Lec),Alexander Tormasov,108
Thursday,10:40-12:10,[B20-CE-**],CA(Tut),Artem Burmyakov,108
Thursday,10:40-12:10,[B20-CS-**],CA(Tut),Muhammad Fahim,107
Thursday,12:40-14:10,[B20-CE-01],CA(Lab),Vladislav Ostankovich,101
Thursday,14:20-15:50,[B20-CE-02],CA(Lab),Vladislav Ostankovich,101
Thursday,12:40-14:10,[B20-CE-03],CA(Lab),Manuel Rodriguez,102
Thursday,14:20-15:50,[B20-CE-04],CA(Lab),Manuel Rodriguez,102
Thursday,12:40-14:10,[B20-CS-01],CA(Lab),Hamza Salem,103
Thursday,14:20-15:50,[B20-CS-02],CA(Lab),Hamza Salem,103
Friday,9:00-10:30,[B17-RO-**|B17-DS-**],CV(Lec),Mohamed Fahim,108
Monday,9:00-10:30,[B19-00-**],DE(Lec),Nikolay Shilov,107
Monday,10:40-12:10,[B19-00-**],DE(Tut),Ivan Konyukhov,107
Monday,12:40-14:10,[B19-00-01],DE(Lab),Marat Mingazov,103
Monday,14:20-15:50,[B19-00-02],DE(Lab),Marat Mingazov,103
Monday,12:40-14:10,[B19-00-03],DE(Lab),Victor Kazorin,104
Monday,14:20-15:50,[B19-00-04],DE(Lab),Victor Kazorin,104
Monday,16:00-17:30,[B19-00-05],DE(Lab),Marat Mingazov,101
Monday,17:40-19:10,[B19-00-06],DE(Lab),Marat Mingazov,101
Friday,9:00-10:30,[B20-**-**],DM(Lec),Andrey Frolov,107
Friday,10:40-12:10,[B20-**-**],DM(Tut),Andrey Frolov,108
Friday,12:40-14:10,[B20-CE-01],DM(Lab),Naumcheva Mariya,101
Friday,12:40-14:10,[B20-CE-02],DM(Lab),Ilya Khomyakov,102
Friday,14:20-15:50,[B20-CE-03],DM(Lab),Naumcheva Mariya,101
Friday,12:40-14:10,[B20-CE-04],DM(Lab),Ruzilia Mukhutdinova,103
Friday,14:20-15:50,[B20-CS-01],DM(Lab),Ilya Khomyakov,102
Friday,14:20-15:50,[B20-CS-02],DM(Lab),Ruzilia Mukhutdinova,103
Tuesday,9:00-10:30,[B18-DS-**|B18-SE-**|B18-SB-**],DS(Lec),Ahsan Kazmi,107
Wednesday,9:00-10:30,[M20-SE-**|M20-DS-**],EM(Lec),Giancarlo Succi,107
Thursday,9:00-10:30,[B17-SE-**|B17-SB-**],FME(Lec),Hein Roelfsema,107
Monday,16:00-17:30,[B20-**-**],FP(Lec),Mirko Farina,108
Monday,17:40-19:10,[B20-CE-01],FP(Lab),Hamna Aslam,102
Monday,19:20-20:50,[B20-CE-02],FP(Lab),Hamna Aslam,101
Monday,17:40-19:10,[B20-CE-03],FP(Lab),Timur Fayzrakhmanov,103
Monday,17:40-19:10,[B20-CE-04],FP(Lab),Mirko Farina,104
Monday,19:20-20:50,[B20-CS-01],FP(Lab),Timur Fayzrakhmanov,102
Monday,19:20-20:50,[B20-CS-02],FP(Lab),Mirko Farina,103
Tuesday,9:00-10:30,[B19-00-**],FSE(Lec),Evgeniy Bobrov,106
Tuesday,10:40-12:10,[B19-00-01],FSE(Lab),Pavel Kolychev,101
Tuesday,12:40-14:10,[B19-00-02],FSE(Lab),Pavel Kolychev,102
Tuesday,10:40-12:10,[B19-00-03],FSE(Lab),Nursultan Askarbekuly,102
Tuesday,12:40-14:10,[B19-00-04],FSE(Lab),Nursultan Askarbekuly,103
Tuesday,10:40-12:10,[B19-00-05],FSE(Lab),Oleg Ignatov,103
Tuesday,12:40-14:10,[B19-00-06],FSE(Lab),Oleg Ignatov,104
Monday,9:00-10:30,[B20-CS-**],ITP(Lec),Luiz Araujo,106
Monday,10:40-12:10,[B20-CS-**],ITP(Tut),Luiz Araujo,106
Monday,12:40-14:10,[B20-CS-01],ITP(Lab),Munir Makhmutov,300
Monday,14:20-15:50,[B20-CS-02],ITP(Lab),Munir Makhmutov,300
Wednesday,9:00-10:30,[B20-CS-**],MA1(Lec),Sergey Gorodetskiy,106
Wednesday,10:40-12:10,[B20-CS-**],MA1(Tut),Sergey Gorodetskiy,107
Wednesday,12:40-14:10,[B20-CS-01],MA1(Lab),Pavel Khakimov,103
Wednesday,14:20-15:50,[B20-CS-02],MA1(Lab),Pavel Khakimov,103
Thursday,9:00-10:30,[B19-00-**],OS(Lec),Giancarlo Succi,106
Thursday,10:40-12:10,[B19-00-**],OS(Tut),Nikita Lozhnikov,106
Thursday,12:40-14:10,[B19-00-01],OS(Lab),Nikita Lozhnikov,104
Thursday,14:20-15:50,[B19-00-02],OS(Lab),Nikita Lozhnikov,104
Thursday,12:40-14:10,[B19-00-03],OS(Lab),Xavier Vasquez,300
Thursday,14:20-15:50,[B19-00-04],OS(Lab),Xavier Vasquez,300
Thursday,12:40-14:10,[B19-00-05],OS(Lab),Shokhista Ergasheva,301
Thursday,14:20-15:50,[B19-00-06],OS(Lab),Shokhista Ergasheva,301
Friday,9:00-10:30,[B18-RO-**|B18-SB-**],P2(Lec),Artur Karimov,106
Wednesday,9:00-10:30,[B19-00-**],PM(Lec),Igor Gaponov,105
Wednesday,10:40-12:10,[B19-00-**],PM(Tut),Semen Kurkin,106
Wednesday,12:40-14:10,[B19-00-01],PM(Lab),Mikhail Ivanov,104
Wednesday,14:20-15:50,[B19-00-02],PM(Lab),Mikhail Ivanov,104
Wednesday,12:40-14:10,[B19-00-03],PM(Lab),Victor Nikiforov,300
Wednesday,14:20-15:50,[B19-00-04],PM(Lab),Victor Nikiforov,300
Wednesday,16:00-17:30,[B19-00-05],PM(Lab),Victor Nikiforov,101
Wednesday,17:40-19:10,[B19-00-06],PM(Lab),Victor Nikiforov,101
Friday,9:00-10:30,[B19-00-**],PS(Lec),Sergey Gorodetskiy,105
Friday,10:40-12:10,[B19-00-**],PS(Tut),Sergey Gorodetskiy,107
Friday,12:40-14:10,[B19-00-01],PS(Lab),Sergey Gorodetskiy,104
Friday,12:40-14:10,[B19-00-02],PS(Lab),Alexey Shikulin,300
Friday,14:20-15:50,[B19-00-03],PS(Lab),Alexey Shikulin,104
Friday,16:00-17:30,[B19-00-04],PS(Lab),Alexey Shikulin,101
Friday,17:40-19:10,[B19-00-05],PS(Lab),Alexey Shikulin,101
Friday,12:40-14:10,[B19-00-06],PS(Lab),Azat Gaitudinov,301
Tuesday,9:00-10:30,[B20-CE-**],PSS(Lec),Eugene Zouev,105
Tuesday,10:40-12:10,[B20-CE-**],PSS(Tut),Eugene Zouev,107
Tuesday,12:40-14:10,[B20-CE-01],PSS(Lab),Sirojiddin Komolov,300
Tuesday,14:20-15:50,[B20-CE-02],PSS(Lab),Sirojiddin Komolov,102
Tuesday,12:40-14:10,[B20-CE-03],PSS(Lab),Mansur Khazeev,301
Tuesday,14:20-15:50,[B20-CE-04],PSS(Lab),Mansur Khazeev,103
